component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;Repo;SPOC revision;Histo component;user;dev revision;dev date;deploy date
oaud/sql/trigger/PRD/TI_TQUESTNR.trg;660719;CG-CG-251-UAT#5-HF#1-8908;SPIRA:SINGLERISK 8908 US#8908 : Script Modification;Y;2026/05/07 10:09;;;;;U021138;660718;2026/05/07 10:08;;
orfr/sql/trigger/PRD/BREF_td_tauthesbhisto.trg;660656;CG-CG-251-UAT#5-HF#1-9302;SPIRA:TOWER1 9302 Updated Script for 9302;Y;2026/05/07 09:35;;Repo_20260507094814Repo_20260507100314;;;U021259;660656;2026/05/07 09:28;;
oaud/sql/trigger/PRD/TU_TQUESTNR.trg;660720;CG-CG-251-UAT#5-HF#1-8908;SPIRA:SINGLERISK 8908 US#8908 : Script Modification;Y;2026/05/07 10:09;;;;;U021138;660718;2026/05/07 10:08;;
orfr/sql/trigger/PRD/BREF_ti_tauthesbhisto.trg;660657;CG-CG-251-UAT#5-HF#1-9302;SPIRA:TOWER1 9302 Updated script for 9302;Y;2026/05/07 09:35;;Repo_20260507094814Repo_20260507100314;;;U021259;660657;2026/05/07 09:29;;
orfr/sql/ddl/PRD/US8966_BREF_TMESSAGE.sql;660471;CG-CG-251-UAT#5-HF#1-8966;SPIRA:TOWER3 8966 US 8966 - new error message for TA;Y;2026/05/05 11:55;;Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U021266;660470;2026/05/05 11:50;;
ofac/sql/proc/PRD/BFAC_PuMASTER_01.prc;660283;CG-CG-251-UAT#5-HF#1-9656;SPIRA:SINGLERISK 9656 US#9656 : Procedure modification (Incorporate newly added column);Y;30/04/2026 10:55;;Repo_20260430110312Repo_20260430120312Repo_20260430150313Repo_20260504134813Repo_20260504140313Repo_20260504164815Repo_20260505080314Repo_20260505103314Repo_20260505114815Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U021138;660255;30/04/2026 08:20;;
orfr/sql/dml/PRD/Spira_112612_229_230_Notification_Creation.sql;655306;CG-CG-251-UAT#5-HF#1-9748;SPIRA:TOWER2 9748 [Amol Mundhe]- US: 8530 Rename banner and notification to be used for Claims Hub (before OCUI);Y;29/04/2026 19:13;;Repo_20260429191812Repo_20260430104812Repo_20260430110312Repo_20260430120312Repo_20260430150313Repo_20260504134813Repo_20260504140313Repo_20260504164815Repo_20260505080314Repo_20260505103314Repo_20260505114815Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U014227;655305;11/02/2026 09:51;;
oret/sql/proc/PRD/BRET_PiREPRETCTR_01.prc;660637;CG-CG-251-UAT#5-HF#1-6023;SPIRA:TOWER2 6023 Commit to deploy;Y;2026/05/07 08:51;;Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U021417;660632;2026/05/07 08:44;;
ocpt/sql/proc/PRD/BCTA_PtCPTSIN_01.prc;659672;CG-CG-251-UAT#5-HF#1-7937;SPIRA:TOWER2 7937 Teja : US 7937 - Forcing index IACCTRN_01 while querying BCTA..TACCTRN;Y;21/04/2026 17:45;;Repo_20260421174812Repo_20260422144815Repo_20260422150315Repo_20260422171811Repo_20260423094813Repo_20260423144811Repo_20260423164813Repo_20260424091532Repo_20260424100315Repo_20260424120315Repo_20260424133311Repo_20260424134811Repo_20260424150311Repo_20260424151811Repo_20260424164812Repo_20260424170312Repo_20260428111811Repo_20260429083311Repo_20260429100314Repo_20260429191812Repo_20260430104812Repo_20260430110312Repo_20260430120312Repo_20260430150313Repo_20260504134813Repo_20260504140313Repo_20260504164815Repo_20260505080314Repo_20260505103314Repo_20260505114815Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U012692;659671;21/04/2026 17:30;;
orfr/sql/dml/PRD/US9725_AuthFun.sql;660151;CG-CG-251-UAT#5-HF#1-9725;SPIRA:TOWER2 9725 Teja : US 9725 - Add authorization rule for Claims Hub workflow;Y;29/04/2026 09:57;;Repo_20260429100314Repo_20260429191812Repo_20260430104812Repo_20260430110312Repo_20260430120312Repo_20260430150313Repo_20260504134813Repo_20260504140313Repo_20260504164815Repo_20260505080314Repo_20260505103314Repo_20260505114815Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U012692;660150;29/04/2026 09:55;;
ocpt/sql/proc/PRD/BCTA_PtTSUIVINTACC_07.prc;659793;CG-CG-251-UAT#5-HF#1-5442;SPIRA:TOWER1 5442 5442: Issue on accounting scheme with balance sheet date when user can change the balance sheet period.;Y;23/04/2026 09:39;;Repo_20260423094813Repo_20260423144811Repo_20260423164813Repo_20260424091532Repo_20260424100315Repo_20260424120315Repo_20260424133311Repo_20260424134811Repo_20260424150311Repo_20260424151811Repo_20260424164812Repo_20260424170312Repo_20260428111811Repo_20260429083311Repo_20260429100314Repo_20260429191812Repo_20260430104812Repo_20260430110312Repo_20260430120312Repo_20260430150313Repo_20260504134813Repo_20260504140313Repo_20260504164815Repo_20260505080314Repo_20260505103314Repo_20260505114815Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U021344;659783;23/04/2026 09:15;;
ocpt/sc/CPTC11.c;660370;CG-CG-251-UAT#5-HF#1-6064;SPIRA:TOWER1 6064 6064:Increase efficiency of responses by Business in case of internal exchange process issue.;Y;04/05/2026 13:35;;Repo_20260504134813Repo_20260504140313Repo_20260504164815Repo_20260505080314Repo_20260505103314Repo_20260505114815Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U021344;660366;04/05/2026 11:38;;
orgl/sql/proc/PRD/BCTA_PiRGOD_02.prc;660143;CG-CG-251-UAT#5-HF#1-9534;SPIRA:TOWER1 9534 BUG-9534 Technical Error when opening OME#Nikita Solanki;Y;29/04/2026 08:22;;Repo_20260429083311Repo_20260429100314Repo_20260429191812Repo_20260430104812Repo_20260430110312Repo_20260430120312Repo_20260430150313Repo_20260504134813Repo_20260504140313Repo_20260504164815Repo_20260505080314Repo_20260505103314Repo_20260505114815Repo_20260505120315Repo_20260505143313Repo_20260506084813Repo_20260506141813Repo_20260507090313Repo_20260507094814Repo_20260507100314;;;U021261;660141;29/04/2026 07:09;;
